Demand,month,day,weekday,hour,Demand24,Demand25,Demand47,Demand48,Demand49,Demand72,Demand96,DB,DP
1704.0,1,10,3,7,1797.0,1530.0,1911.0,1798.0,1558.0,1760.0,1437.0,41.0,23.0
1825.0,1,10,3,8,1916.0,1797.0,1900.0,1911.0,1798.0,1883.0,1517.0,39.0,22.0
1824.0,1,10,3,9,1915.0,1916.0,1881.0,1900.0,1911.0,1884.0,1631.0,39.0,22.0
1815.0,1,10,3,10,1906.0,1915.0,1870.0,1881.0,1900.0,1878.0,1707.0,40.0,22.0
1810.0,1,10,3,11,1909.0,1906.0,1847.0,1870.0,1881.0,1871.0,1737.0,43.0,22.0
1801.0,1,10,3,12,1902.0,1909.0,1817.0,1847.0,1870.0,1864.0,1767.0,44.0,21.0
1778.0,1,10,3,13,1887.0,1902.0,1810.0,1817.0,1847.0,1847.0,1768.0,46.0,22.0
1762.0,1,10,3,14,1873.0,1887.0,1790.0,1810.0,1817.0,1842.0,1745.0,46.0,20.0
1746.0,1,10,3,15,1852.0,1873.0,1813.0,1790.0,1810.0,1822.0,1724.0,47.0,20.0
1773.0,1,10,3,16,1907.0,1852.0,1972.0,1813.0,1790.0,1848.0,1747.0,47.0,21.0
1925.0,1,10,3,17,2064.0,1907.0,2170.0,1972.0,1813.0,2010.0,1922.0,46.0,21.0
2126.0,1,10,3,18,2181.0,2064.0,2179.0,2170.0,1972.0,2221.0,2120.0,43.0,21.0
2138.0,1,10,3,19,2170.0,2181.0,2130.0,2179.0,2170.0,2238.0,2123.0,41.0,21.0
2101.0,1,10,3,20,2112.0,2170.0,2041.0,2130.0,2179.0,2194.0,2054.0,39.0,21.0
2022.0,1,10,3,21,2017.0,2112.0,1881.0,2041.0,2130.0,2101.0,1961.0,37.0,21.0
1868.0,1,10,3,22,1850.0,2017.0,1659.0,1881.0,2041.0,1942.0,1805.0,36.0,22.0
1673.0,1,10,3,23,1637.0,1850.0,1508.0,1659.0,1881.0,1740.0,1630.0,37.0,21.0
1501.0,1,10,3,24,1464.0,1637.0,1386.0,1508.0,1659.0,1568.0,1473.0,35.0,22.0
1397.0,1,11,4,1,1356.0,1464.0,1340.0,1386.0,1508.0,1454.0,1377.0,34.0,21.0
1348.0,1,11,4,2,1295.0,1356.0,1320.0,1340.0,1386.0,1409.0,1331.0,31.0,21.0
1329.0,1,11,4,3,1272.0,1295.0,1324.0,1320.0,1340.0,1384.0,1313.0,32.0,21.0
1331.0,1,11,4,4,1276.0,1272.0,1380.0,1324.0,1320.0,1378.0,1313.0,30.0,21.0
1377.0,1,11,4,5,1320.0,1276.0,1530.0,1380.0,1324.0,1420.0,1364.0,26.0,20.0
1512.0,1,11,4,6,1457.0,1320.0,1797.0,1530.0,1380.0,1558.0,1506.0,26.0,20.0
1755.0,1,11,4,7,1704.0,1457.0,1916.0,1797.0,1530.0,1798.0,1760.0,26.0,21.0
1890.0,1,11,4,8,1825.0,1704.0,1915.0,1916.0,1797.0,1911.0,1883.0,28.0,22.0
1896.0,1,11,4,9,1824.0,1825.0,1906.0,1915.0,1916.0,1900.0,1884.0,29.0,23.0
1900.0,1,11,4,10,1815.0,1824.0,1909.0,1906.0,1915.0,1881.0,1878.0,32.0,25.0
1898.0,1,11,4,11,1810.0,1815.0,1902.0,1909.0,1906.0,1870.0,1871.0,35.0,25.0
1897.0,1,11,4,12,1801.0,1810.0,1887.0,1902.0,1909.0,1847.0,1864.0,36.0,25.0
1890.0,1,11,4,13,1778.0,1801.0,1873.0,1887.0,1902.0,1817.0,1847.0,38.0,26.0
1884.0,1,11,4,14,1762.0,1778.0,1852.0,1873.0,1887.0,1810.0,1842.0,38.0,27.0
1871.0,1,11,4,15,1746.0,1762.0,1907.0,1852.0,1873.0,1790.0,1822.0,39.0,28.0
1892.0,1,11,4,16,1773.0,1746.0,2064.0,1907.0,1852.0,1813.0,1848.0,39.0,28.0
2007.0,1,11,4,17,1925.0,1773.0,2181.0,2064.0,1907.0,1972.0,2010.0,39.0,29.0
2114.0,1,11,4,18,2126.0,1925.0,2170.0,2181.0,2064.0,2170.0,2221.0,37.0,30.0
2087.0,1,11,4,19,2138.0,2126.0,2112.0,2170.0,2181.0,2179.0,2238.0,36.0,32.0
2025.0,1,11,4,20,2101.0,2138.0,2017.0,2112.0,2170.0,2130.0,2194.0,37.0,33.0
1946.0,1,11,4,21,2022.0,2101.0,1850.0,2017.0,2112.0,2041.0,2101.0,37.0,34.0
1831.0,1,11,4,22,1868.0,2022.0,1637.0,1850.0,2017.0,1881.0,1942.0,38.0,36.0
1671.0,1,11,4,23,1673.0,1868.0,1464.0,1637.0,1850.0,1659.0,1740.0,39.0,38.0
1510.0,1,11,4,24,1501.0,1673.0,1356.0,1464.0,1637.0,1508.0,1568.0,40.0,38.0
1391.0,1,12,5,1,1397.0,1501.0,1295.0,1356.0,1464.0,1386.0,1454.0,40.0,39.0
1326.0,1,12,5,2,1348.0,1397.0,1272.0,1295.0,1356.0,1340.0,1409.0,40.0,39.0
1286.0,1,12,5,3,1329.0,1348.0,1276.0,1272.0,1295.0,1320.0,1384.0,40.0,39.0
1268.0,1,12,5,4,1331.0,1329.0,1320.0,1276.0,1272.0,1324.0,1378.0,40.0,39.0
1276.0,1,12,5,5,1377.0,1331.0,1457.0,1320.0,1276.0,1380.0,1420.0,40.0,40.0
1323.0,1,12,5,6,1512.0,1377.0,1704.0,1457.0,1320.0,1530.0,1558.0,40.0,39.0
1411.0,1,12,5,7,1755.0,1512.0,1825.0,1704.0,1457.0,1797.0,1798.0,40.0,39.0
1503.0,1,12,5,8,1890.0,1755.0,1824.0,1825.0,1704.0,1916.0,1911.0,40.0,39.0
1632.0,1,12,5,9,1896.0,1890.0,1815.0,1824.0,1825.0,1915.0,1900.0,40.0,39.0
1725.0,1,12,5,10,1900.0,1896.0,1810.0,1815.0,1824.0,1906.0,1881.0,40.0,39.0
1772.0,1,12,5,11,1898.0,1900.0,1801.0,1810.0,1815.0,1909.0,1870.0,42.0,40.0
1793.0,1,12,5,12,1897.0,1898.0,1778.0,1801.0,1810.0,1902.0,1847.0,43.0,41.0
1779.0,1,12,5,13,1890.0,1897.0,1762.0,1778.0,1801.0,1887.0,1817.0,43.0,41.0
1754.0,1,12,5,14,1884.0,1890.0,1746.0,1762.0,1778.0,1873.0,1810.0,43.0,42.0
1736.0,1,12,5,15,1871.0,1884.0,1773.0,1746.0,1762.0,1852.0,1790.0,44.0,42.0
1746.0,1,12,5,16,1892.0,1871.0,1925.0,1773.0,1746.0,1907.0,1813.0,44.0,43.0
1869.0,1,12,5,17,2007.0,1892.0,2126.0,1925.0,1773.0,2064.0,1972.0,44.0,43.0
2013.0,1,12,5,18,2114.0,2007.0,2138.0,2126.0,1925.0,2181.0,2170.0,43.0,42.0
1966.0,1,12,5,19,2087.0,2114.0,2101.0,2138.0,2126.0,2170.0,2179.0,44.0,43.0
1888.0,1,12,5,20,2025.0,2087.0,2022.0,2101.0,2138.0,2112.0,2130.0,43.0,42.0
1808.0,1,12,5,21,1946.0,2025.0,1868.0,2022.0,2101.0,2017.0,2041.0,43.0,42.0
1723.0,1,12,5,22,1831.0,1946.0,1673.0,1868.0,2022.0,1850.0,1881.0,43.0,42.0
1576.0,1,12,5,23,1671.0,1831.0,1501.0,1673.0,1868.0,1637.0,1659.0,43.0,42.0
1427.0,1,12,5,24,1510.0,1671.0,1397.0,1501.0,1673.0,1464.0,1508.0,43.0,42.0
1310.0,1,13,6,1,1391.0,1510.0,1348.0,1397.0,1501.0,1356.0,1386.0,43.0,42.0
1237.0,1,13,6,2,1326.0,1391.0,1329.0,1348.0,1397.0,1295.0,1340.0,43.0,42.0
1198.0,1,13,6,3,1286.0,1326.0,1331.0,1329.0,1348.0,1272.0,1320.0,42.0,42.0
1179.0,1,13,6,4,1268.0,1286.0,1377.0,1331.0,1329.0,1276.0,1324.0,43.0,42.0
1185.0,1,13,6,5,1276.0,1268.0,1512.0,1377.0,1331.0,1320.0,1380.0,42.0,42.0
1218.0,1,13,6,6,1323.0,1276.0,1755.0,1512.0,1377.0,1457.0,1530.0,42.0,42.0
1283.0,1,13,6,7,1411.0,1323.0,1890.0,1755.0,1512.0,1704.0,1797.0,42.0,41.0
1361.0,1,13,6,8,1503.0,1411.0,1896.0,1890.0,1755.0,1825.0,1916.0,42.0,41.0
1493.0,1,13,6,9,1632.0,1503.0,1900.0,1896.0,1890.0,1824.0,1915.0,43.0,42.0
1605.0,1,13,6,10,1725.0,1632.0,1898.0,1900.0,1896.0,1815.0,1906.0,44.0,43.0
1674.0,1,13,6,11,1772.0,1725.0,1897.0,1898.0,1900.0,1810.0,1909.0,45.0,44.0
1711.0,1,13,6,12,1793.0,1772.0,1890.0,1897.0,1898.0,1801.0,1902.0,47.0,46.0
1720.0,1,13,6,13,1779.0,1793.0,1884.0,1890.0,1897.0,1778.0,1887.0,48.0,46.0
1720.0,1,13,6,14,1754.0,1779.0,1871.0,1884.0,1890.0,1762.0,1873.0,51.0,48.0
1711.0,1,13,6,15,1736.0,1754.0,1892.0,1871.0,1884.0,1746.0,1852.0,53.0,49.0
1742.0,1,13,6,16,1746.0,1736.0,2007.0,1892.0,1871.0,1773.0,1907.0,53.0,50.0
1870.0,1,13,6,17,1869.0,1746.0,2114.0,2007.0,1892.0,1925.0,2064.0,52.0,49.0
1955.0,1,13,6,18,2013.0,1869.0,2087.0,2114.0,2007.0,2126.0,2181.0,50.0,47.0
1938.0,1,13,6,19,1966.0,2013.0,2025.0,2087.0,2114.0,2138.0,2170.0,49.0,47.0
1842.0,1,13,6,20,1888.0,1966.0,1946.0,2025.0,2087.0,2101.0,2112.0,50.0,48.0
1794.0,1,13,6,21,1808.0,1888.0,1831.0,1946.0,2025.0,2022.0,2017.0,50.0,48.0
1653.0,1,13,6,22,1723.0,1808.0,1671.0,1831.0,1946.0,1868.0,1850.0,48.0,47.0
1479.0,1,13,6,23,1576.0,1723.0,1510.0,1671.0,1831.0,1673.0,1637.0,51.0,49.0
1340.0,1,13,6,24,1427.0,1576.0,1391.0,1510.0,1671.0,1501.0,1464.0,50.0,49.0
1242.0,1,14,0,1,1310.0,1427.0,1326.0,1391.0,1510.0,1397.0,1356.0,50.0,49.0
1189.0,1,14,0,2,1237.0,1310.0,1286.0,1326.0,1391.0,1348.0,1295.0,51.0,50.0
1169.0,1,14,0,3,1198.0,1237.0,1268.0,1286.0,1326.0,1329.0,1272.0,52.0,51.0
1170.0,1,14,0,4,1179.0,1198.0,1276.0,1268.0,1286.0,1331.0,1276.0,53.0,51.0
1211.0,1,14,0,5,1185.0,1179.0,1323.0,1276.0,1268.0,1377.0,1320.0,52.0,50.0
1330.0,1,14,0,6,1218.0,1185.0,1411.0,1323.0,1276.0,1512.0,1457.0,52.0,50.0
1572.0,1,14,0,7,1283.0,1218.0,1503.0,1411.0,1323.0,1755.0,1704.0,51.0,50.0
1715.0,1,14,0,8,1361.0,1283.0,1632.0,1503.0,1411.0,1890.0,1825.0,51.0,50.0
1752.0,1,14,0,9,1493.0,1361.0,1725.0,1632.0,1503.0,1896.0,1824.0,51.0,50.0
1779.0,1,14,0,10,1605.0,1493.0,1772.0,1725.0,1632.0,1900.0,1815.0,53.0,51.0
1794.0,1,14,0,11,1674.0,1605.0,1793.0,1772.0,1725.0,1898.0,1810.0,55.0,53.0
1797.0,1,14,0,12,1711.0,1674.0,1779.0,1793.0,1772.0,1897.0,1801.0,57.0,53.0
1762.0,1,14,0,13,1720.0,1711.0,1754.0,1779.0,1793.0,1890.0,1778.0,57.0,52.0
1726.0,1,14,0,14,1720.0,1720.0,1736.0,1754.0,1779.0,1884.0,1762.0,59.0,50.0
1703.0,1,14,0,15,1711.0,1720.0,1746.0,1736.0,1754.0,1871.0,1746.0,61.0,47.0
1727.0,1,14,0,16,1742.0,1711.0,1869.0,1746.0,1736.0,1892.0,1773.0,58.0,40.0
1868.0,1,14,0,17,1870.0,1742.0,2013.0,1869.0,1746.0,2007.0,1925.0,55.0,32.0
2038.0,1,14,0,18,1955.0,1870.0,1966.0,2013.0,1869.0,2114.0,2126.0,53.0,30.0
2041.0,1,14,0,19,1938.0,1955.0,1888.0,1966.0,2013.0,2087.0,2138.0,51.0,30.0
1983.0,1,14,0,20,1842.0,1938.0,1808.0,1888.0,1966.0,2025.0,2101.0,49.0,29.0
1885.0,1,14,0,21,1794.0,1842.0,1723.0,1808.0,1888.0,1946.0,2022.0,48.0,29.0
1752.0,1,14,0,22,1653.0,1794.0,1576.0,1723.0,1808.0,1831.0,1868.0,47.0,28.0
1553.0,1,14,0,23,1479.0,1653.0,1427.0,1576.0,1723.0,1671.0,1673.0,45.0,28.0
1391.0,1,14,0,24,1340.0,1479.0,1310.0,1427.0,1576.0,1510.0,1501.0,42.0,31.0
1301.0,1,15,1,1,1242.0,1340.0,1237.0,1310.0,1427.0,1391.0,1397.0,40.0,31.0
1256.0,1,15,1,2,1189.0,1242.0,1198.0,1237.0,1310.0,1326.0,1348.0,38.0,31.0
1234.0,1,15,1,3,1169.0,1189.0,1179.0,1198.0,1237.0,1286.0,1329.0,37.0,32.0
1232.0,1,15,1,4,1170.0,1169.0,1185.0,1179.0,1198.0,1268.0,1331.0,36.0,32.0
1258.0,1,15,1,5,1211.0,1170.0,1218.0,1185.0,1179.0,1276.0,1377.0,37.0,32.0
1392.0,1,15,1,6,1330.0,1211.0,1283.0,1218.0,1185.0,1323.0,1512.0,37.0,32.0
1646.0,1,15,1,7,1572.0,1330.0,1361.0,1283.0,1218.0,1411.0,1755.0,37.0,32.0
1786.0,1,15,1,8,1715.0,1572.0,1493.0,1361.0,1283.0,1503.0,1890.0,37.0,31.0
1809.0,1,15,1,9,1752.0,1715.0,1605.0,1493.0,1361.0,1632.0,1896.0,37.0,29.0
1820.0,1,15,1,10,1779.0,1752.0,1674.0,1605.0,1493.0,1725.0,1900.0,37.0,28.0
1837.0,1,15,1,11,1794.0,1779.0,1711.0,1674.0,1605.0,1772.0,1898.0,38.0,27.0
1848.0,1,15,1,12,1797.0,1794.0,1720.0,1711.0,1674.0,1793.0,1897.0,40.0,27.0
1837.0,1,15,1,13,1762.0,1797.0,1720.0,1720.0,1711.0,1779.0,1890.0,41.0,26.0
1826.0,1,15,1,14,1726.0,1762.0,1711.0,1720.0,1720.0,1754.0,1884.0,41.0,26.0
1815.0,1,15,1,15,1703.0,1726.0,1742.0,1711.0,1720.0,1736.0,1871.0,42.0,26.0
1831.0,1,15,1,16,1727.0,1703.0,1870.0,1742.0,1711.0,1746.0,1892.0,42.0,25.0
1957.0,1,15,1,17,1868.0,1727.0,1955.0,1870.0,1742.0,1869.0,2007.0,41.0,25.0
2136.0,1,15,1,18,2038.0,1868.0,1938.0,1955.0,1870.0,2013.0,2114.0,40.0,25.0
2149.0,1,15,1,19,2041.0,2038.0,1842.0,1938.0,1955.0,1966.0,2087.0,40.0,25.0
2096.0,1,15,1,20,1983.0,2041.0,1794.0,1842.0,1938.0,1888.0,2025.0,38.0,24.0
2001.0,1,15,1,21,1885.0,1983.0,1653.0,1794.0,1842.0,1808.0,1946.0,38.0,25.0
1842.0,1,15,1,22,1752.0,1885.0,1479.0,1653.0,1794.0,1723.0,1831.0,38.0,24.0
1633.0,1,15,1,23,1553.0,1752.0,1340.0,1479.0,1653.0,1576.0,1671.0,37.0,24.0
1464.0,1,15,1,24,1391.0,1553.0,1242.0,1340.0,1479.0,1427.0,1510.0,37.0,24.0
1354.0,1,16,2,1,1301.0,1391.0,1189.0,1242.0,1340.0,1310.0,1391.0,37.0,24.0
1301.0,1,16,2,2,1256.0,1301.0,1169.0,1189.0,1242.0,1237.0,1326.0,37.0,24.0
1272.0,1,16,2,3,1234.0,1256.0,1170.0,1169.0,1189.0,1198.0,1286.0,36.0,25.0
1273.0,1,16,2,4,1232.0,1234.0,1211.0,1170.0,1169.0,1179.0,1268.0,33.0,28.0
1322.0,1,16,2,5,1258.0,1232.0,1330.0,1211.0,1170.0,1185.0,1276.0,32.0,30.0
1462.0,1,16,2,6,1392.0,1258.0,1572.0,1330.0,1211.0,1218.0,1323.0,32.0,30.0
1706.0,1,16,2,7,1646.0,1392.0,1715.0,1572.0,1330.0,1283.0,1411.0,32.0,30.0
1849.0,1,16,2,8,1786.0,1646.0,1752.0,1715.0,1572.0,1361.0,1503.0,32.0,31.0
1883.0,1,16,2,9,1809.0,1786.0,1779.0,1752.0,1715.0,1493.0,1632.0,32.0,31.0
1914.0,1,16,2,10,1820.0,1809.0,1794.0,1779.0,1752.0,1605.0,1725.0,33.0,31.0
1945.0,1,16,2,11,1837.0,1820.0,1797.0,1794.0,1779.0,1674.0,1772.0,33.0,31.0
1967.0,1,16,2,12,1848.0,1837.0,1762.0,1797.0,1794.0,1711.0,1793.0,33.0,32.0
1968.0,1,16,2,13,1837.0,1848.0,1726.0,1762.0,1797.0,1720.0,1779.0,34.0,32.0
1971.0,1,16,2,14,1826.0,1837.0,1703.0,1726.0,1762.0,1720.0,1754.0,34.0,32.0
1948.0,1,16,2,15,1815.0,1826.0,1727.0,1703.0,1726.0,1711.0,1736.0,34.0,32.0
1971.0,1,16,2,16,1831.0,1815.0,1868.0,1727.0,1703.0,1742.0,1746.0,34.0,32.0
2088.0,1,16,2,17,1957.0,1831.0,2038.0,1868.0,1727.0,1870.0,1869.0,34.0,32.0
2208.0,1,16,2,18,2136.0,1957.0,2041.0,2038.0,1868.0,1955.0,2013.0,34.0,32.0
2188.0,1,16,2,19,2149.0,2136.0,1983.0,2041.0,2038.0,1938.0,1966.0,34.0,32.0
2123.0,1,16,2,20,2096.0,2149.0,1885.0,1983.0,2041.0,1842.0,1888.0,34.0,32.0
2021.0,1,16,2,21,2001.0,2096.0,1752.0,1885.0,1983.0,1794.0,1808.0,34.0,32.0
1856.0,1,16,2,22,1842.0,2001.0,1553.0,1752.0,1885.0,1653.0,1723.0,34.0,33.0
1654.0,1,16,2,23,1633.0,1842.0,1391.0,1553.0,1752.0,1479.0,1576.0,34.0,33.0
1481.0,1,16,2,24,1464.0,1633.0,1301.0,1391.0,1553.0,1340.0,1427.0,35.0,32.0
1371.0,1,17,3,1,1354.0,1464.0,1256.0,1301.0,1391.0,1242.0,1310.0,35.0,32.0
1314.0,1,17,3,2,1301.0,1354.0,1234.0,1256.0,1301.0,1189.0,1237.0,35.0,31.0
1305.0,1,17,3,3,1272.0,1301.0,1232.0,1234.0,1256.0,1169.0,1198.0,34.0,31.0
1304.0,1,17,3,4,1273.0,1272.0,1258.0,1232.0,1234.0,1170.0,1179.0,34.0,31.0
1347.0,1,17,3,5,1322.0,1273.0,1392.0,1258.0,1232.0,1211.0,1185.0,34.0,31.0
1486.0,1,17,3,6,1462.0,1322.0,1646.0,1392.0,1258.0,1330.0,1218.0,32.0,30.0
1737.0,1,17,3,7,1706.0,1462.0,1786.0,1646.0,1392.0,1572.0,1283.0,32.0,30.0
1851.0,1,17,3,8,1849.0,1706.0,1809.0,1786.0,1646.0,1715.0,1361.0,32.0,29.0
1853.0,1,17,3,9,1883.0,1849.0,1820.0,1809.0,1786.0,1752.0,1493.0,33.0,30.0
